CUSTCYCLE.TXT	UDDS+HWY+UDDS+US06
Test Time, secs Target Speed, mph
0 0.0
1781	57.1
1782	56.9
1783	56.7
1784	56.5
1785	56.3
1786	56.1
1787	56.3
1788	57.3
1789	57.6
1790	57.4
1791	57.3
1792	57.5
1793	57.5
1794	57.6
1795	57.8
1796	57.8
1797	57.8
1798	57.8
1799	57.7
1800	57.7
1801	57.7
1802	57.8
1803	57.8
1804	58.1
1805	58.2
1806	58.3
1807	58.7
1808	59.1
1809	59.2
1810	59.6
1811	60.0
1812	60.1
1813	59.8
1814	59.4
1815	59.1
1816	58.9
1817	58.8
1818	58.7
1819	58.7
1820	58.6
1821	58.5
1822	58.5
1823	58.4
1824	58.4
1825	58.3
1826	58.2
1827	58.2
1828	58.1
1829	58.0
1830	57.9
1831	57.8
1832	57.7
1833	57.7
1834	57.8
1835	57.7
1836	57.8
1837	57.8
1838	57.9
1839	58.0
1840	58.0
1841	58.0
1842	58.0
1843	58.0
1844	58.0
1845	58.0
1846	57.9
1847	57.9
1848	57.9
1849	57.9
1850	58.0
1851	58.0
1852	58.1
1853	58.2
1854	58.1
1855	58.2
1856	58.1
1857	57.9
1858	57.7
1859	57.6
1860	57.3
1861	57.1
1862	56.8
1863	56.6
1864	56.3
1865	56.0
1866	55.7
1867	55.5
1868	55.4
1869	55.3
1870	54.9
1871	54.8
1872	54.8
1873	54.8
1874	54.7
1875	54.6
1876	54.6
1877	54.6
1878	54.7
1879	54.6
1880	54.6
1881	54.6
1882	54.7
1883	54.8
1884	54.7
1885	54.7
1886	54.7
1887	54.7
1888	54.7
1889	54.6
1890	54.6
1891	54.4
1892	54.1
1893	54.1
1894	53.9
1895	53.9
1896	53.8
1897	53.8
1898	53.8
1899	53.9
1900	53.9
1901	54.0
1902	54.0
1903	54.0
1904	54.0
1905	53.9
1906	54.1
1907	54.4
1908	54.5
1909	54.5
1910	54.6
1911	54.7
1912	54.8
1913	55.1
1914	55.1
1915	55.1
1916	55.3
1917	55.4
1918	55.4
1919	55.3
1920	55.6
1921	55.8
1922	55.9
1923	56.0
1924	56.1
1925	56.0
1926	56.0
1927	56.1
1928	55.9
1929	55.9
1930	55.8
1931	55.7
1932	55.7
1933	55.8
1934	55.8
1935	55.8
1936	55.8
1937	55.8
1938	55.9
1939	55.7
1940	55.6
1941	55.4
1942	55.2
1943	55.0
1944	54.9
1945	54.7
1946	54.5
1947	54.3
1948	54.1
1949	53.8
1950	53.6
1951	53.3
1952	53.1
1953	52.9
1954	52.6
1955	52.5
1956	52.4
1957	52.3
1958	52.2
1959	52.2
1960	52.1
1961	52.1
1962	52.0
1963	51.9
1964	52.0
1965	51.9
1966	51.8
1967	51.6
1968	51.4
1969	51.1
1970	50.8
1971	50.5
1972	50.1
1973	49.5
1974	48.8
1975	48.1
1976	47.9
1977	47.6
1978	47.7
1979	48.0
1980	48.2
1981	48.5
1982	48.6
1983	48.7
1984	48.8
1985	48.8
1986	48.8
1987	48.8
1988	48.6
1989	48.4
1990	48.1
1991	47.9
1992	47.6
1993	47.4
1994	47.5
1995	48.2
1996	49.2
1997	49.1
1998	48.8
1999	48.6
2000	48.2
2001	47.5
2002	46.8
2003	46.3
2004	46.1
2005	46.0
2006	46.7
2007	48.2
2008	48.7
2009	49.5
2010	50.3
2011	51.0
2012	51.7
2013	52.6
2014	52.9
2015	53.2
2016	53.5
2017	53.9
2018	54.4
2019	54.6
2020	54.6
2021	54.7
2022	55.2
2023	55.5
2024	55.1
2025	53.3
2026	50.9
2027	50.0
2028	47.7
2029	46.7
2030	46.1
2031	45.9
2032	45.7
2033	45.8
2034	46.5
2035	47.8
2036	48.3
2037	48.7
2038	49.5
2039	50.5
2040	50.5
2041	50.8
2042	51.2
2043	51.7
2044	52.3
2045	52.1
2046	51.8
2047	51.4
2048	51.1
2049	51.0
2050	51.2
2051	51.3
2052	51.2
2053	51.3
2054	51.7
2055	52.1
2056	52.7
2057	52.8
2058	52.6
2059	52.3
2060	52.2
2061	52.2
2062	52.5
2063	52.6
2064	52.5
2065	52.4
2066	52.1
2067	51.8
2068	51.4
2069	51.0
2070	50.5
2071	50.0
2072	49.5
2073	49.3
2074	49.1
2075	49.2
2076	49.5
2077	49.8
2078	49.9
2079	50.2
2080	50.5
2081	50.8
2082	51.2
2083	51.7
2084	51.7
2085	51.9
2086	52.5
2087	52.9
2088	53.2
2089	53.4
